Faculty,Are you currently taking any add-on or extra cocurricular courses outside of your major requirements?,Do you prefer courses that are more theoretical or practical in nature?,Are you interested to learn add on courses?,Which Programming Languages are you Proficient in?,
Commerce,Both,Yes,C/C++;JavaScript;Angular JS,Web Development;Android App Development;Windows Application Development;Application Development;Utility Software,
Science,Yes,Both,Yes,Python;C/C++,C/C++;Operating System
Commerce,Yes,Both,Yes,C/C++,C/C++
Commerce,Yes,Both,Yes,Python;Java,Operating System;Data Structure;Software Engineering
Commerce,Yes,Practical,Yes,Python,Data Structure
Commerce,Yes,Practical,Yes,Python,Angular JS
Commerce,Yes,Both,Yes,Java,Operating System;Software Engineering
Science,No,Both,Yes,Python;Java;C/C++,C/C++;Operating System;Data Structure
Commerce,No,Both,Yes,C/C++,C/C++
Commerce,Yes,Practical,Yes,C/C++,Operating System;Data Structure
Commerce,No,Practical,Yes,C/C++,C/C++
Commerce,No,Both,Yes,C/C++;JavaScript,C/C++;Operating System;Data Structure;Software Engineering
Commerce,No,Practical,Yes,C/C++;JavaScript,C/C++;Operating System;Data Structure;Angular JS;Node JS;Software Engineering
Commerce,Yes,Practical,Yes,Python;C/C++,C/C++;Data Structure
Commerce,No,Both,Yes,C/C++,C/C++
Commerce,Yes,Practical,Yes,Python;Java;C/C++;JavaScript,C/C++;Operating System;Data Structure;Software Engineering
Commerce,No,Theoretical,Yes,Python;Java;C/C++,C/C++;Operating System;Data Structure;Software Engineering
Commerce,Yes,Both,Yes,Java,Angular JS
Commerce,Yes,Practical,Yes,Python;Java,C/C++
Commerce,No,Both,Yes,Java;C/C++;JavaScript,C/C++;Operating System;Data Structure;Software Engineering
Commerce,Yes,Both,Yes,C/C++;JavaScript,C/C++;Software Engineering
Commerce,Yes,Theoretical,Yes,C/C++,C/C++
Commerce,Yes,Both,Yes,C/C++,C/C++
Commerce,Yes,Both,Yes,Python,Data Structure
Commerce,No,Both,Yes,Java,Data Structure
Commerce,No,Both,Yes,Python;Java;C/C++;JavaScript;Angular JS,C/C++;Operating System;Data Structure;Node JS;Software Engineering
Commerce,No,Both,Yes,JavaScript,C/C++
Commerce,Yes,Practical,Yes,Java;C/C++,C/C++
Commerce,Yes,Theoretical,Yes,Python;Java;C/C++;JavaScript;Angular JS,Operating System;Data Structure;Angular JS;Node JS
Commerce,Yes,Practical,Yes,Python;Java;C/C++;JavaScript,C/C++;Operating System;Data Structure;Node JS;Software Engineering
Commerce,Yes,Both,Yes,Python;Java,C/C++;Data Structure
Commerce,Yes,Both,Yes,Python;Java;C/C++;JavaScript;Angular JS,C/C++
Commerce,Yes,Both,Yes,Python,C/C++
Commerce,Yes,Practical,Yes,Java;C/C++;JavaScript,Operating System
Commerce,No,Practical,Yes,Python,C/C++;Operating System;Data Structure;Angular JS;Node JS
Commerce,No,Both,Yes,C/C++,C/C++;Data Structure
Commerce,Yes,Both,Yes,Python;Java,C/C++;Operating System;Data Structure;Software Engineering
